# time totalContactTime
1479.4000 1566.3000
1480.5000 1571.6000
1481.6000 1577.0000
1482.7000 1582.3000
1483.8000 1588.0000
1484.9000 1591.6000
1486.0000 1594.9000
1487.1000 1597.6000
1488.2000 1600.1000
1489.3000 1603.4000
1490.4000 1607.2000
1491.5000 1611.6000
1492.6000 1616.2000
1493.7000 1621.6000
1494.8000 1629.1000
1495.9000 1635.8000
1497.0000 1642.1000
1498.1000 1647.6000
1499.2000 1652.2000
1500.3000 1656.6000
1501.4000 1661.5000
1502.5000 1665.9000
1503.6000 1671.2000
1504.7000 1676.8000
1505.8000 1682.3000
1506.9000 1688.2000
1508.0000 1692.6000
1509.1000 1697.9000
1510.2000 1702.5000
1511.3000 1707.5000
1512.4000 1711.3000
1513.5000 1715.7000
1514.6000 1718.9000
1515.7000 1721.1000
1516.8000 1722.5000
1517.9000 1724.2000
1519.0000 1726.7000
1520.1000 1729.1000
1521.2000 1732.8000
1522.3000 1736.0000
1523.4000 1738.2000
1524.5000 1739.4000
1530.0000 1739.8000
1531.1000 1741.0000
1532.2000 1743.3000
1533.3000 1746.5000
1534.4000 1749.0000
1535.5000 1752.3000
1536.6000 1755.6000
1537.7000 1758.9000
1538.8000 1761.2000
1539.9000 1762.7000
1541.0000 1766.0000
1542.1000 1769.3000
1543.2000 1772.6000
1544.3000 1775.5000
1545.4000 1778.0000
1546.5000 1780.2000
1547.6000 1782.5000
1548.7000 1784.7000
1549.8000 1786.9000
1550.9000 1790.2000
1552.0000 1792.7000
1553.1000 1796.0000
1554.2000 1799.4000
1555.3000 1802.7000
1556.4000 1806.1000
1557.5000 1808.5000
1558.6000 1810.7000
1559.7000 1814.1000
1560.8000 1817.8000
1561.9000 1821.5000
1563.0000 1824.1000
1564.1000 1826.9000
1565.2000 1830.2000
1566.3000 1833.1000
1567.4000 1835.7000
1568.5000 1837.9000
1569.6000 1840.5000
1570.7000 1844.3000
1571.8000 1849.5000
1572.9000 1854.8000
1574.0000 1858.9000
1575.1000 1863.0000
1576.2000 1866.3000
1577.3000 1869.6000
1578.4000 1874.2000
1579.5000 1878.7000
1580.6000 1883.0000
1581.7000 1885.7000
1582.8000 1886.9000
1583.9000 1889.6000
1585.0000 1892.0000
1586.1000 1895.3000
1587.2000 1897.5000
1588.3000 1900.7000
1589.4000 1904.0000
1590.5000 1908.3000
1591.6000 1912.2000
1592.7000 1915.2000
1593.8000 1917.9000
1594.9000 1920.1000
1596.0000 1923.2000
1597.1000 1926.3000
1598.2000 1929.5000
1599.3000 1933.2000
1600.4000 1937.4000
1601.5000 1941.2000
1602.6000 1946.2000
1603.7000 1950.4000
1604.8000 1955.5000
1605.9000 1960.8000
1607.0000 1965.0000
1608.1000 1969.4000
1609.2000 1974.8000
1610.3000 1979.8000
1611.4000 1982.2000
1612.5000 1983.9000
1613.6000 1985.0000
1614.7000 1986.1000
1615.8000 1987.3000
1616.9000 1989.5000
1618.0000 1991.8000
1619.1000 1995.1000
1620.2000 1997.5000
1621.3000 1999.7000
1622.4000 2001.2000
1623.5000 2002.3000
1624.6000 2003.4000
1625.7000 2004.5000
1626.8000 2005.6000
1627.9000 2006.8000
1629.0000 2009.0000
1630.1000 2011.9000
1631.2000 2015.2000
1632.3000 2020.3000
1633.4000 2026.9000
1634.5000 2033.0000
1635.6000 2041.0000
1636.7000 2048.6000
1637.8000 2056.6000
1638.9000 2063.8000
1640.0000 2068.8000
1641.1000 2073.1000
1642.2000 2076.4000
1643.3000 2079.8000
1644.4000 2083.1000
1645.5000 2086.4000
1646.6000 2089.1000
1647.7000 2090.7000
1648.8000 2093.3000
1649.9000 2096.6000
1651.0000 2100.6000
1652.1000 2105.0000
1653.2000 2109.4000
1654.3000 2113.6000
1655.4000 2117.6000
1656.5000 2122.0000
1657.6000 2125.9000
1658.7000 2128.9000
1659.8000 2131.1000
1660.9000 2133.3000
1662.0000 2136.2000
1663.1000 2139.5000
1664.2000 2142.7000
1665.3000 2143.6000
1666.4000 2144.7000
1667.5000 2145.8000
1668.6000 2149.2000
1669.7000 2153.6000
1670.8000 2158.5000
1671.9000 2163.0000
1673.0000 2165.2000
1674.1000 2167.6000
1675.2000 2170.9000
1676.3000 2174.2000
1677.4000 2177.5000
1678.5000 2179.4000
1679.6000 2180.5000
1680.7000 2181.6000
1681.8000 2182.7000
1682.9000 2183.8000
1684.0000 2185.3000
1685.1000 2186.9000
1686.2000 2190.1000
1687.3000 2193.0000
1688.4000 2195.2000
1689.5000 2196.5000
1690.6000 2198.0000
1691.7000 2201.2000
1692.8000 2204.5000
1693.9000 2206.3000
1695.0000 2207.4000
1696.1000 2208.5000
1697.2000 2210.5000
1698.3000 2212.0000
1699.4000 2214.1000
1700.5000 2216.6000
1701.6000 2219.9000
1702.7000 2222.6000
