# time totalContactTime
413.6000 14531.3000
414.6000 14572.3000
415.6000 14611.8000
416.6000 14652.9000
417.6000 14692.4000
418.6000 14730.8000
419.6000 14767.3000
420.6000 14800.2000
421.6000 14832.6000
422.6000 14864.6000
423.6000 14897.7000
424.6000 14932.2000
425.6000 14967.7000
426.6000 15006.0000
427.6000 15044.5000
428.6000 15082.7000
429.6000 15120.6000
430.6000 15156.6000
431.6000 15192.6000
432.6000 15229.3000
433.6000 15265.0000
434.6000 15300.0000
435.6000 15334.2000
436.6000 15368.2000
437.6000 15401.2000
438.6000 15432.7000
439.6000 15463.6000
440.6000 15492.1000
441.6000 15520.0000
442.6000 15547.5000
443.6000 15577.8000
444.6000 15607.3000
445.6000 15636.3000
446.6000 15667.6000
447.6000 15698.4000
448.6000 15729.3000
449.6000 15762.0000
450.6000 15796.7000
451.6000 15831.5000
452.6000 15866.4000
453.6000 15901.2000
454.6000 15936.3000
455.6000 15972.5000
456.6000 16007.7000
457.6000 16042.4000
458.6000 16077.9000
459.6000 16112.8000
460.6000 16147.8000
461.6000 16183.4000
462.6000 16218.5000
463.6000 16253.9000
464.6000 16290.8000
465.6000 16328.4000
466.6000 16367.9000
467.6000 16405.9000
468.6000 16443.2000
469.6000 16479.7000
470.6000 16514.7000
471.6000 16551.6000
472.6000 16587.9000
473.6000 16621.8000
474.6000 16654.3000
475.6000 16684.3000
476.6000 16714.5000
477.6000 16745.2000
478.6000 16775.0000
479.6000 16803.2000
480.6000 16830.7000
481.6000 16859.2000
482.6000 16888.2000
483.6000 16916.0000
484.6000 16943.9000
485.6000 16973.5000
486.6000 17003.2000
487.6000 17033.2000
488.6000 17062.9000
489.6000 17091.7000
490.6000 17120.5000
491.6000 17148.9000
492.6000 17176.9000
493.6000 17205.1000
494.6000 17234.6000
495.6000 17262.3000
496.6000 17288.1000
497.6000 17312.9000
498.6000 17335.3000
499.6000 17357.5000
500.6000 17379.8000
501.6000 17399.8000
502.6000 17419.6000
503.6000 17440.5000
504.6000 17463.7000
505.6000 17485.4000
506.6000 17507.7000
507.6000 17530.6000
508.6000 17551.7000
509.6000 17572.7000
510.6000 17593.3000
511.6000 17613.6000
512.6000 17633.8000
513.6000 17655.1000
514.6000 17676.9000
515.6000 17699.5000
516.6000 17723.2000
517.6000 17746.2000
518.6000 17767.7000
519.6000 17790.0000
520.6000 17813.9000
521.6000 17838.2000
522.6000 17862.9000
523.6000 17885.9000
524.6000 17908.7000
525.6000 17931.0000
526.6000 17955.2000
527.6000 17982.3000
528.6000 18013.8000
529.6000 18045.8000
530.6000 18076.9000
531.6000 18107.5000
532.6000 18137.5000
533.6000 18166.3000
534.6000 18192.7000
535.6000 18216.8000
536.6000 18240.1000
537.6000 18261.2000
538.6000 18281.0000
539.6000 18299.6000
540.6000 18316.5000
541.6000 18335.1000
542.6000 18354.8000
543.6000 18375.3000
544.6000 18396.5000
545.6000 18420.4000
546.6000 18443.2000
547.6000 18466.2000
548.6000 18489.2000
549.6000 18512.9000
550.6000 18536.3000
551.6000 18559.3000
552.6000 18583.0000
553.6000 18607.0000
554.6000 18631.3000
555.6000 18654.7000
556.6000 18676.3000
557.6000 18695.7000
558.6000 18715.3000
559.6000 18737.3000
560.6000 18760.9000
561.6000 18784.9000
562.6000 18808.1000
563.6000 18832.5000
564.6000 18858.3000
565.6000 18884.9000
566.6000 18911.0000
567.6000 18937.6000
568.6000 18966.6000
569.6000 18995.6000
570.6000 19024.6000
571.6000 19053.1000
572.6000 19078.7000
573.6000 19102.5000
574.6000 19126.3000
575.6000 19148.5000
576.6000 19171.0000
577.6000 19191.8000
578.6000 19210.7000
579.6000 19229.6000
580.6000 19247.3000
581.6000 19267.2000
582.6000 19289.8000
583.6000 19311.4000
584.6000 19331.6000
585.6000 19351.9000
586.6000 19372.7000
587.6000 19392.9000
588.6000 19413.7000
589.6000 19435.1000
590.6000 19457.1000
591.6000 19479.9000
592.6000 19500.8000
593.6000 19521.8000
594.6000 19544.2000
595.6000 19565.6000
596.6000 19586.6000
597.6000 19608.0000
598.6000 19630.1000
