# time totalContactTime
1527.8000 13360.2000
1528.9000 13382.9000
1530.0000 13406.0000
1531.1000 13432.0000
1532.2000 13456.0000
1533.3000 13478.6000
1534.4000 13502.5000
1535.5000 13524.7000
1536.6000 13547.9000
1537.7000 13573.0000
1538.8000 13598.3000
1539.9000 13623.0000
1541.0000 13647.8000
1542.1000 13674.0000
1543.2000 13700.6000
1544.3000 13727.0000
1545.4000 13754.8000
1546.5000 13784.1000
1547.6000 13812.0000
1548.7000 13839.1000
1549.8000 13864.6000
1550.9000 13889.1000
1552.0000 13912.6000
1553.1000 13936.8000
1554.2000 13961.4000
1555.3000 13986.5000
1556.4000 14009.4000
1557.5000 14030.6000
1558.6000 14051.2000
1559.7000 14072.0000
1560.8000 14092.2000
1561.9000 14112.0000
1563.0000 14133.2000
1564.1000 14154.6000
1565.2000 14176.5000
1566.3000 14197.4000
1567.4000 14217.8000
1568.5000 14238.2000
1569.6000 14259.1000
1570.7000 14281.1000
1571.8000 14304.3000
1572.9000 14329.4000
1574.0000 14355.1000
1575.1000 14383.3000
1576.2000 14412.0000
1577.3000 14441.0000
1578.4000 14467.5000
1579.5000 14495.7000
1580.6000 14526.2000
1581.7000 14558.1000
1582.8000 14588.3000
1583.9000 14618.1000
1585.0000 14648.4000
1586.1000 14679.6000
1587.2000 14710.6000
1588.3000 14740.3000
1589.4000 14771.0000
1590.5000 14800.2000
1591.6000 14827.1000
1592.7000 14852.3000
1593.8000 14877.9000
1594.9000 14902.7000
1596.0000 14927.5000
1597.1000 14951.8000
1598.2000 14974.7000
1599.3000 14997.7000
1600.4000 15019.7000
1601.5000 15042.3000
1602.6000 15065.4000
1603.7000 15089.4000
1604.8000 15112.4000
1605.9000 15133.3000
1607.0000 15154.0000
1608.1000 15172.3000
1609.2000 15191.1000
1610.3000 15211.9000
1611.4000 15236.0000
1612.5000 15258.9000
1613.6000 15280.7000
1614.7000 15302.8000
1615.8000 15324.8000
1616.9000 15346.8000
1618.0000 15366.9000
1619.1000 15386.2000
1620.2000 15405.3000
1621.3000 15424.9000
1622.4000 15443.2000
1623.5000 15461.1000
1624.6000 15479.1000
1625.7000 15496.9000
1626.8000 15516.3000
1627.9000 15539.4000
1629.0000 15562.6000
1630.1000 15585.9000
1631.2000 15609.2000
1632.3000 15634.5000
1633.4000 15659.8000
1634.5000 15685.4000
1635.6000 15712.3000
1636.7000 15739.5000
1637.8000 15767.6000
1638.9000 15797.1000
1640.0000 15826.8000
1641.1000 15855.7000
1642.2000 15883.7000
1643.3000 15912.1000
1644.4000 15940.6000
1645.5000 15969.2000
1646.6000 15999.9000
1647.7000 16028.6000
1648.8000 16058.0000
1649.9000 16087.7000
1651.0000 16115.6000
1652.1000 16144.4000
1653.2000 16174.0000
1654.3000 16203.7000
1655.4000 16234.3000
1656.5000 16262.9000
1657.6000 16289.8000
1658.7000 16316.2000
1659.8000 16344.8000
1660.9000 16374.3000
1662.0000 16405.4000
1663.1000 16437.4000
1664.2000 16466.5000
1665.3000 16494.7000
1666.4000 16522.5000
