# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
6863.2000 M155 551649 4 2261.2000 w86 w63 262 N w86->w88->c32->p25->w63
6870.3000 M70 766484 3 4777.3000 t92 p3 220 N t92->t91->t90->p3
6966.2000 M199 567634 3 1035.2000 w81 p1 282 N w81->w84->c31->p1
7003.7000 M131 516636 3 3095.7000 w73 p6 248 N w73->p17->c34->p6
7009.3000 M202 769146 1 994.3000 c48 w85 283 N c48->w85
7018.5000 M187 827135 2 1456.5000 w78 c47 275 N w78->p6->c47
7021.9000 M236 844026 1 4.9000 p6 c34 299 N p6->c34
7062.9000 M227 618726 2 315.9000 w64 w66 294 N w64->w70->w66
7092.9000 M193 821267 1 1345.9000 p15 w66 277 N p15->w66
7112.1000 M34 844772 2 6105.1000 c38 c36 198 N c38->p26->c36
7119.8000 M172 809508 2 2002.8000 p20 c30 266 N p20->w73->c30
7133.5000 M232 569382 4 232.5000 c42 w82 296 N c42->t93->p25->p23->w82
7225.0000 M185 502540 2 1720.0000 p15 t94 271 N p15->w83->t94
7266.5000 M180 766653 2 1896.5000 p20 c54 268 N p20->p22->c54
7268.0000 M203 799751 1 1220.0000 c48 w73 279 N c48->w73
7338.4000 M245 569042 2 45.4000 p0 w83 299 N p0->c52->w83
7374.7000 M141 518416 2 3181.7000 c57 w76 246 N c57->p4->w76
7398.2000 M207 923599 2 1237.2000 w89 w64 279 N w89->t93->w64
7424.3000 M181 569604 2 2027.3000 c56 c33 266 N c56->p8->c33
7436.2000 M200 878362 2 1474.2000 c35 c44 275 N c35->w87->c44
7523.4000 M39 983915 2 6369.4000 w60 p20 193 N w60->p6->p20
7554.7000 M152 744252 4 3043.7000 w64 w68 249 N w64->w76->t93->c46->w68
7560.6000 M75 838158 2 5319.6000 c36 c56 211 N c36->p21->c56
7623.0000 M168 716045 3 2626.0000 c43 w77 256 N c43->p27->p13->w77
7637.8000 M211 725483 2 1363.8000 p22 p24 277 N p22->p5->p24
7643.9000 M191 547102 2 1954.9000 p28 w87 267 N p28->c40->w87
7657.6000 M252 993036 1 162.6000 c43 p17 297 N c43->p17
7729.3000 M149 795095 2 3301.3000 c33 w87 244 N c33->p15->w87
7769.1000 M235 503057 1 786.1000 p12 p4 286 N p12->p4
7788.5000 M224 647560 3 1123.5000 w77 p3 281 N w77->w88->p5->p3
7822.3000 M162 670362 1 3000.3000 c55 p21 249 N c55->p21
7856.9000 M194 875828 3 2078.9000 w67 p0 265 N w67->p9->w71->p0
7862.5000 M262 924477 1 70.5000 t92 p0 298 N t92->p0
7882.4000 M148 698709 4 3479.4000 c51 w74 242 N c51->c56->c40->w87->w74
7920.7000 M223 948504 1 1288.7000 p15 c40 278 N p15->c40
7928.8000 M217 918433 2 1480.8000 w78 w62 275 N w78->p21->w62
7961.6000 M190 535919 2 2306.6000 w89 w78 261 N w89->c56->w78
8096.0000 M208 501446 3 1909.0000 c46 p4 268 N c46->p2->c44->p4
8188.7000 M188 875548 2 2595.7000 w67 p2 256 N w67->c35->p2
8219.0000 M256 678857 4 598.0000 w77 c39 290 N w77->c50->p22->p23->c39
8265.5000 M278 600747 1 11.5000 w79 w81 299 N w79->w81
8294.9000 M182 706440 2 2872.9000 c42 c35 252 N c42->w81->c35
8342.0000 M204 736264 1 2264.0000 p28 c50 262 N p28->c50
8427.3000 M215 782491 2 2031.3000 c54 c38 266 N c54->c32->c38
8461.2000 M259 561706 3 752.2000 c44 t90 287 N c44->w64->p20->t90
8476.2000 M272 545134 4 399.2000 w89 c36 293 N w89->c51->t91->t90->c36
8496.4000 M237 705144 2 1452.4000 t94 c48 275 N t94->w67->c48
8504.4000 M260 541494 3 770.4000 w86 t91 287 N w86->w65->c46->t91
8534.3000 M178 890709 1 3227.3000 p28 p22 246 N p28->p22
8587.8000 M222 741424 4 1986.8000 w89 w78 266 N w89->t93->t95->p20->w78
8628.1000 M136 846612 1 4578.1000 c30 p7 223 N c30->p7
8632.2000 M161 568421 3 3844.2000 p2 c50 235 N p2->c53->w76->c50
8650.2000 M229 923227 3 1846.2000 p24 c31 269 N p24->w71->c47->c31
8657.0000 M254 803308 3 1101.0000 w69 w70 281 N w69->p9->c58->w70
8698.5000 M116 972891 1 5231.5000 c50 c48 212 N c50->c48
8705.4000 M220 882837 2 2165.4000 p9 w83 263 N p9->p18->w83
8747.1000 M244 775082 3 1488.1000 p12 w64 275 N p12->w81->w83->w64
8748.3000 M285 613983 3 303.3000 w82 c44 294 N w82->c49->p25->c44
8779.3000 M225 750939 3 2082.3000 w68 w78 265 N w68->p6->c46->w78
8869.0000 M139 592046 4 4732.0000 p5 p19 221 N p5->t93->t95->t92->p19
8877.9000 M174 952886 2 3696.9000 c45 c54 238 N c45->w60->c54
8896.0000 M270 548566 2 877.0000 p25 c56 285 N p25->c52->c56
8909.0000 M228 852533 3 2130.0000 w81 c36 264 N w81->c55->p8->c36
8910.0000 M258 703695 1 1232.0000 w81 w84 279 N w81->w84
8911.3000 M253 908672 3 1386.3000 w89 w71 276 N w89->p3->p2->w71
8927.9000 M226 990073 2 2205.9000 p17 p29 263 N p17->w67->p29
8954.2000 M249 944555 3 1543.2000 w77 p2 274 N w77->p23->w86->p2
8997.2000 M286 824783 2 524.2000 w82 w80 291 N w82->w71->w80
9094.9000 M240 508487 2 1952.9000 t91 w83 267 N t91->t90->w83
9103.4000 M281 841633 4 772.4000 c42 p16 287 N c42->c39->w81->w84->p16
9107.5000 M239 580423 1 1999.5000 c48 w88 266 N c48->w88
9151.4000 M242 811543 3 1951.4000 c48 w64 267 N c48->p18->p15->w64
9155.2000 M221 948206 2 2584.2000 c42 p15 256 N c42->w64->p15
9163.9000 M282 507563 1 806.9000 p17 p8 286 N p17->p8
9258.1000 M243 857445 3 2033.1000 p19 c33 266 N p19->c36->p28->c33
9382.0000 M303 707088 2 417.0000 p29 w83 293 N p29->c53->w83
9385.3000 M213 745605 2 3049.3000 p18 p25 249 N p18->w66->p25
9422.5000 M246 828591 2 2095.5000 c31 w68 265 N c31->w79->w68
9438.5000 M312 531806 2 216.5000 p28 w80 296 N p28->w65->w80
9480.9000 M287 866307 3 976.9000 p7 c33 283 N p7->p6->p28->c33
9508.9000 M268 563802 3 1548.9000 p1 c33 274 N p1->c50->p22->c33
9596.8000 M318 740952 1 198.8000 w78 w76 296 N w78->w76
9623.9000 M234 915445 4 2669.9000 c38 w71 255 N c38->w83->p23->t94->w71
9624.5000 M323 746572 1 75.5000 w69 w60 298 N w69->w60
9628.4000 M92 799189 4 6870.4000 c53 c50 185 N c53->w60->p0->c56->c50
9645.5000 M284 971618 4 1233.5000 w73 c51 279 N w73->c54->p5->p14->c51
9790.4000 M276 776460 1 1596.4000 c33 w72 273 N c33->w72
9817.5000 M328 501809 2 100.5000 p10 c39 298 N p10->w87->c39
9887.0000 M121 987656 3 6269.0000 w67 c58 195 N w67->w75->c45->c58
9907.6000 M295 798056 4 1167.6000 w82 c54 280 N w82->p4->c36->p22->c54
9915.1000 M241 894126 3 2746.1000 p18 c40 254 N p18->c48->c37->c40
9916.5000 M302 708229 2 981.5000 w76 p22 283 N w76->p14->p22
9938.8000 M273 589551 3 1836.8000 p19 c51 269 N p19->c34->c47->c51
9947.0000 M230 918174 1 3110.0000 t94 w88 248 N t94->w88
9949.6000 M238 626897 2 2875.6000 p23 w88 252 N p23->t94->w88
9955.4000 M263 894847 3 2136.4000 p18 p0 264 N p18->p8->p15->p0
9955.4000 M298 780316 2 1137.4000 c40 w88 281 N c40->p7->w88
9961.1000 M212 697308 4 3655.1000 w78 t94 239 N w78->c44->p1->p7->t94
9965.4000 M332 605103 2 134.4000 p25 c48 297 N p25->w86->c48
